game,cause
1079,ability_logged
1080,forced_LAND_not_in_hand
1081,hidden_choice
1082,ability_logged
1083,forced_ATTACK_no_attacker_absent
1084,forced_LAND_not_in_hand
1085,field_user_creatures
1086,ability_logged
1087,forced_SWAP_not_in_library_graveyard
1088,hidden_choice
1089,forced_SWAP_not_in_library_battlefield
1090,hidden_choice
1091,field_user_life
1092,ability_logged
1093,hidden_choice
1094,forced_ATTACK_no_attacker_absent
1095,field_user_creatures
1096,forced_CAST_not_playable
1097,field_user_creatures
1098,forced_CAST_not_playable
1099,field_user_creatures
1100,forced_DRAW_not_in_library_graveyard
1101,hidden_choice
1102,forced_LAND_not_in_hand
1103,field_user_creatures
1104,ability_logged
1105,ability_logged
1106,field_user_creatures
1107,ability_logged
1108,hidden_choice
1109,field_user_creatures
1110,forced_CAST_activate_failed
1111,forced_CAST_not_playable
1112,ability_logged
1113,hidden_choice
1114,ability_logged
1115,forced_BLOCK_no_blocker
1116,forced_DRAW_not_in_library_graveyard
1117,field_user_creatures
1118,field_user_hand
1119,field_user_creatures
1120,forced_DRAW_not_in_library_graveyard
1121,field_user_life
1122,hidden_choice
1123,forced_CAST_not_in_hand
1124,hidden_choice
1125,ability_logged
1126,forced_CAST_not_playable
1127,field_user_creatures
1128,forced_DRAW_not_in_library_graveyard
1129,ability_logged
1130,ability_logged
1131,forced_DRAW_not_in_library_graveyard
1132,forced_SWAP_not_in_library_graveyard
1133,field_user_creatures
1134,ability_logged
1135,ability_logged
1136,ability_logged
1137,forced_DRAW_not_in_library_graveyard
1138,forced_DRAW_not_in_library_graveyard
1139,ability_logged
1140,ability_logged
1141,hidden_choice
1142,ability_logged
1143,field_user_creatures
1144,forced_CAST_not_in_hand
1145,ability_logged
1146,field_user_life
1147,forced_DRAW_not_in_library_hand
1148,field_user_life
1149,forced_SWAP_not_in_library_graveyard
1150,forced_CAST_not_playable
1151,forced_DRAW_not_in_library_graveyard
1152,field_user_hand
1153,field_oppo_life
1154,forced_DRAW_not_in_library_graveyard
1155,hidden_choice
1156,hidden_choice
1157,ability_logged
1158,ability_logged
1159,forced_DRAW_not_in_library_graveyard
1160,field_user_hand
1161,ability_logged
1162,forced_SWAP_not_in_library_graveyard
1163,forced_BLOCK_no_blocker
1164,forced_SWAP_not_in_library_graveyard
1165,hidden_choice
1166,forced_LAND_not_in_hand
1167,forced_BLOCK_no_blocker
1168,forced_SWAP_not_in_library_graveyard
